Entry,Contingent,Leader Number,Ship Number,Text Reference
urn:cite:hmt:catships.Apollodorus.1,urn:cite:cycle:contingents.1,10,40,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.2,Orchomenians,4,30,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.3,Phocians,4,40,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.4,Locrians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.5,Euboeans,1,40,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.6,Athenians,1,50,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.7,Salaminians,1,12,urn:cts:greekLit:tlg0548.tlg002:3.11
urn:cite:hmt:catships.Apollodorus.8,Argives,1,80,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.9,Mycenaeans,1,100,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.10,Lacedaemonians,1,60,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.11,Pylians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.12,Arcadians,1,7,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.13,Eleans,1,40,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.14,Dulichians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.15,Cephallenians,1,12,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.16,Aetolians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.12
urn:cite:hmt:catships.Apollodorus.17,Cretans,1,40,urn:cts:greekLit:tlg0548.tlg002:3.13
urn:cite:hmt:catships.Apollodorus.18,Rhodians,1,9,urn:cts:greekLit:tlg0548.tlg002:3.13
urn:cite:hmt:catships.Apollodorus.19,Symaeans,1,3,urn:cts:greekLit:tlg0548.tlg002:3.13
urn:cite:hmt:catships.Apollodorus.20,Coans,2,30,urn:cts:greekLit:tlg0548.tlg002:3.13
urn:cite:hmt:catships.Apollodorus.21,Myrmidons,1,50,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.22,Phylace,1,40,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.23,Pheraeans,1,11,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.24,Olizonians,1,7,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.25,Aeanianians,1,22,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.26,Triccaeans,1,30,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.27,Ormenians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.28,Gyrtonians,1,30,urn:cts:greekLit:tlg0548.tlg002:3.14
urn:cite:hmt:catships.Apollodorus.29,Magnesians,1,40,urn:cts:greekLit:tlg0548.tlg002:3.14
